  0.000  2.609  2.638  3.422  3.645  4.792  4.410  4.428  4.458  5.104  5.678  5.585  6.514  6.914  5.321  4.972  5.373
  2.609  0.000  3.167  3.192  3.903  5.227  3.752  3.527  3.556  4.101  4.567  4.386  5.230  5.626  4.126  4.085  4.652
  2.638  3.167  0.000  4.399  5.120  6.206  5.805  5.666  5.591  5.987  6.431  6.402  7.117  7.440  6.351  6.223  6.637
  3.422  3.192  4.399  0.000  1.446  2.419  2.927  3.558  3.964  5.069  5.760  5.444  6.528  6.981  4.475  3.620  3.818
  3.645  3.903  5.120  1.446  0.000  1.544  2.531  3.368  3.791  5.037  5.826  5.525  6.690  7.166  4.478  3.449  3.636
  4.792  5.227  6.206  2.419  1.544  0.000  3.667  4.578  4.964  6.196  7.008  6.704  7.836  8.296  5.520  4.419  4.377
  4.410  3.752  5.805  2.927  2.531  3.667  0.000  1.374  2.485  3.620  4.076  3.489  4.614  5.115  2.282  1.399  2.167
  4.428  3.527  5.666  3.558  3.368  4.578  1.374  0.000  1.348  2.282  2.732  2.357  3.638  4.179  2.293  2.205  3.230
  4.458  3.556  5.591  3.964  3.791  4.964  2.485  1.348  0.000  1.350  2.403  2.729  4.082  4.595  3.562  3.536  4.530
  5.104  4.101  5.987  5.069  5.037  6.196  3.620  2.282  1.350  0.000  1.346  2.270  3.473  3.931  4.029  4.401  5.461
  5.678  4.567  6.431  5.760  5.826  7.008  4.076  2.732  2.403  1.346  0.000  1.333  2.247  2.690  3.692  4.453  5.521
  5.585  4.386  6.402  5.444  5.525  6.704  3.489  2.357  2.729  2.270  1.333  0.000  1.364  2.015  2.501  3.483  4.508
  6.514  5.230  7.117  6.528  6.690  7.836  4.614  3.638  4.082  3.473  2.247  1.364  0.000  1.012  3.038  4.276  5.178
  6.914  5.626  7.440  6.981  7.166  8.296  5.115  4.179  4.595  3.931  2.690  2.015  1.012  0.000  3.460  4.717  5.571
  5.321  4.126  6.351  4.475  4.478  5.520  2.282  2.293  3.562  4.029  3.692  2.501  3.038  3.460  0.000  1.338  2.149
  4.972  4.085  6.223  3.620  3.449  4.419  1.399  2.205  3.536  4.401  4.453  3.483  4.276  4.717  1.338  0.000  1.082
  5.373  4.652  6.637  3.818  3.636  4.377  2.167  3.230  4.530  5.461  5.521  4.508  5.178  5.571  2.149  1.082  0.000
