# CCMLA Entropy Cutoff=  -1.000
# NumSnap     Entropy
    50000      2.4771
   100000      4.9444
   150000      5.3259
   200000      4.8439
   250000      4.8139
   300000      5.2746
   350000      5.3085
   400000      5.2092
   450000      5.1620
   500000      5.1882
   550000      5.2630
   600000      5.3441
   650000      5.2822
   700000      5.2878
   750000      5.3049
   800000      5.4054
   850000      5.4207
   900000      5.4327
   950000      5.4317
  1000000      5.4416
