# NumSnap     Entropy
    50000      5.8956
   100000      7.0899
   150000      7.3571
   200000      7.0478
   250000      7.0396
   300000      7.3257
   350000      7.3190
   400000      7.2536
   450000      7.2402
   500000      7.2505
   550000      7.2830
   600000      7.3399
   650000      7.2929
   700000      7.2951
   750000      7.3063
   800000      7.3766
   850000      7.3869
   900000      7.3928
   950000      7.3943
  1000000      7.4046
