 # NumSnap     Entropy
     50000      2.5000
    100000      4.9607
    150000      5.3477
    200000      4.8606
    250000      4.8333
    300000      5.2887
    350000      5.3172
    400000      5.2159
    450000      5.1658
    500000      5.1890
    550000      5.2644
    600000      5.3482
    650000      5.2858
    700000      5.2887
    750000      5.3041
    800000      5.4059
    850000      5.4207
    900000      5.4326
    950000      5.4313
   1000000      5.4415
